Magazine,Issue,Date,Type,Source,Quote,Purpose,Article Name
Dabiq,1,Jun-14,Hadith,Sahih Bukhari,"Abdullah Ibn Umar (radiyallahu anhuma) narrated that the Prophet (sallallahu alayhi wa sallam) said, Indeed every man is a shepherd and every shepherd is responsible for his flock. So the imam of the people is a shepherd and he is responsible for his flock.",Support,The Concept of Imamah (Leadership) is From the Millah (Path) of Ibrahim
Dabiq,1,Jun-14,Hadith,"Bukhari, Muslim","In a part of the hadith of Hudhayfah (radiyallahu anh), the Prophet (sallallahu alayhi wa sallam) said, Stick to the jama’ah (congregation) of the Muslims and their imam. I said, And if they have neither a jama’ah nor an imam? He said, Then avoid every group, even if you have to bite onto the root of a tree until death reaches you while you’re in that condition. [Reported by AlBukhari and Muslim]",Support,The Concept of Imamah (Leadership) is From the Millah (Path) of Ibrahim
Dabiq,1,Jun-14,Hadith,Sahih Bukhari,"Qays Ibn Hazim narrated that Abu Bakr entered in on a woman from Ahmas called Zaynab and saw that she wasn’t speaking to anyone. He asked, Why isn’t she speaking? They said, She vowed to perform Hajj without speaking to anyone. He said to her, Speak, for this is not permissible. This is from the deeds of jahiliyyah (preIslamic era). So she began speaking, and asked him: Who are you? He said, A man from the muhajirin (emigrants). She asked, Which muhajirin? He said, Quraysh. She asked, Which branch of Quraysh are you from? He said, You ask too many questions. I am Abu Bakr. She asked, How long will we remain in this good state of affairs that Allah has brought to us after jahiliyyah? He said, You’ll remain like this as long as your a’immah (leaders) treat you with justice. She asked, And what are the a’immah? He said, Didn’t your people have leaders and nobility whose orders they obeyed? She said, Yes. He said, They are the a’immah of the people.",Support,The Concept of Imamah (Leadership) is From the Millah (Path) of Ibrahim
Dabiq,1,Jun-14,Qur'an,Baqarah 124,"{He (Ibrahim) pleaded, And also (leaders) from my offspring.’}",Support,The Concept of Imamah (Leadership) is From the Millah (Path) of Ibrahim
Dabiq,1,Jun-14,Qur'an,Baqarah 124,"{(Allah) said, My covenant does not include the wrongdoers.’}",Support,The Concept of Imamah (Leadership) is From the Millah (Path) of Ibrahim
Dabiq,1,Jun-14,Tafsir,Al-Qurtubi,"A number of scholars used this verse as evidence that the imam must be a man of justice, good conduct, and virtue, and have the strength to fulfill his role. [They say that] such an imam is the one whom the Prophet (sallallahu alayhi wa sallam) commanded the Muslims not to rebel against, as mentioned earlier. As for the sinful, unjust, immoral tyrant, then such an individual doesn’t qualify for this position on account of the statement of Allah, {My covenant does not include the wrongdoers.} It was for this reason that Ibn Az-Zubayr and AlHusayn Ibn Ali revolted. Likewise, the best of the people of Iraq and their scholars revolted against Al-Hajjaj, and the people of Madinah expelled the tribe Bani Umayyah from Madinah and then revolted against them (the Umayyad ruler), resulting in (the massacre of) Al-Harrah which Muslim Ibn Uqbah brought down on them. [AhkamulQur’an, 2:108]",Support,The Concept of Imamah (Leadership) is From the Millah (Path) of Ibrahim
Dabiq,1,Jun-14,Qur'an,Baqarah 124,"{And (remember) when Ibrahim was tried by his Lord with certain words (i.e. commands) and he fulfilled them. (Allah) said, Indeed, I will make you a leader for mankind.’ (Ibrahim) pleaded, And also (leaders) from my offspring.’ (Allah) said, My covenant does not include the wrongdoers.’} [AlBaqarah: 124]",Support,The Concept of Imamah (Leadership) is From the Millah (Path) of Ibrahim
Dabiq,1,Jun-14,Tafsir,Tafsir Ibn Kathir,"Ibn Kathir (rahimahullah) states, His (subhanahu wa ta’ala) statement: {with certain kalimat}, means with laws, commands, and prohibitions. The term kalimat can be used to refer to statements concerning the qadar (divine decree) of Allah. An example of this is the statement of Allah (subhanahu wa ta’ala) about Maryam, {and she believed in the kalimat (words) of her Lord and His scriptures and was of the devoutly obedient} [At-Tahrim: 12]. It can also be used in a shar’i context, as in the statement of Allah (subhanahu wa ta’ala), {And the word of your Lord has been fulfilled in truth and in justice. None can alter His kalimat (words)} [Al-An’am: 115], meaning His shar’i kalimat, which include things that Allah informs us of and commands that He requires us to obey. An example of the shar’i usage of the term kalimat is the noble verse in discussion, {And (remember) when Ibrahim was tried by his Lord with certain kalimat and he fulfilled them}, meaning he carried them out. {(Allah) said, Indeed, I will make you a leader for mankind.’}, meaning as a reward for his actions. On account of obeying Allah’s commands and avoiding His prohibitions, Allah made Ibrahim an imam for mankind and an example to be followed. [Tafsir Ibn Kathir: Volume 1]",Support,The Concept of Imamah (Leadership) is From the Millah (Path) of Ibrahim
Dabiq,1,Jun-14,Tafsir,Tafsir Ibn Kathir,"Ibn Abbas explained the term kalimat as follows, The kalimat with which Allah tried Ibrahim and he fulfilled were, firstly, the command to separate from his people for the sake of Allah. Likewise, his debate with Namrud where he brought to his attention the seriousness of the issue that Namrud opposed him on. Likewise, the patience he displayed – as terrifying as it was – when Namrud threw him into the fire and he was about to be burned alive for the sake of Allah. Likewise, his hijrah (emigration) thereafter from his land for sake of Allah when he was commanded to leave his people. [Tafsir Ibn Kathir: Volume 1]",Support,The Concept of Imamah (Leadership) is From the Millah (Path) of Ibrahim
Dabiq,1,Jun-14,Qur'an,Baqarah 130,"{And who would turn away from the religion of Ibrahim except one who makes a fool of himself. Truly, We chose him in this world, and indeed in the Hereafter he will be among the righteous.} [Al-Baqarah: 130]",Support,The Concept of Imamah (Leadership) is From the Millah (Path) of Ibrahim
Dabiq,1,Jun-14,Hadith,Sahih Muslim,"Abdur-Rahman Ibn Abd Rabbil-Ka’bah narrated, saying, I entered the masjid and there was Abdullah Ibn Amr Ibn Al- ’As sitting in the shade of the Ka’bah with people gathered around him, so I came to them and sat before him. Then he said, We were on a journey with the Messenger of Allah (sallallahu alayhi wa sallam), and we stopped at a place. Some of us were setting up our tents, others were competing in shooting arrows, and others were grazing their animals, when an announcer of the Messenger of Allah (sallallahu alayhi wa sallam) called us to gather for prayer. We gathered around the Messenger of Allah (sallallahu alayhi wa sallam) and he said, Indeed, no messenger has come before except that it was his duty to guide his people to what he knew to be good for them, and warn them against what he knew to be bad for them. The wellness of this Ummah of yours is in its beginning. In its end, it will be afflicted with tribulations and with things that you disapprove. There will be tribulations, each one eclipsing the one before it in severity. There will be tribulations [so severe] that the believer will say, This will be what destroys me.’ Then it will end, and another tribulation will follow, and the believer will say, This is the one [that will actually destroy me]. This is it.’ Whoever wishes to be saved from the fire and enter paradise should die believing in Allah and the Last Day, and should treat people the way he wishes to be treated. Whoever pledges allegiance to an imam, giving him his hand in sincerity, should obey him as much as he is able to. And if another man comes forward disputing his legitimacy, then strike that other man’s neck.’ [Recorded by Muslim]",Support,The Concept of Imamah (Leadership) is From the Millah (Path) of Ibrahim
Dabiq,1,Jun-14,Hadith,Sahih Muslim,"So I came close to him and said, I beseech you in the name of Allah, did you hear this from the Messenger of Allah (sallallahu alayhi wa sallam)?’ So he extended his hand to his ears and his heart, and said, My ears heard it and my heart fully grasped it.’ So I said to him, Your cousin Mu’awiyah is ordering us to consume 29 dabiq one another’s wealth unjustly and to kill one another, whereas Allah says, {Oh you who have believed, do not consume one another’s wealth unjustly but only [in lawful] business by mutual consent. And do not kill yourselves [or one another]. Indeed, Allah is to you ever Merciful.} So he was quiet for some time. Then he said, Obey him concerning what is obedience to Allah, and disobey him in matters involving disobedience to Allah.’",Support,The Concept of Imamah (Leadership) is From the Millah (Path) of Ibrahim
Dabiq,1,Jun-14,Hadith,Sunan ad-Darim,"Umar ibn al-Khattab (Radiyallahu anh) said, There is no Islam except with jama’ah, and no jama’ah except with imarah (leadership), and no imarah except with ta’ah (obedience).",Support,The Concept of Imamah (Leadership) is From the Millah (Path) of Ibrahim
Dabiq,1,Jun-14,Hadith,"Ahmad, at-Tirmidhi","Allah's Messenger (SAW) said, ""I order you with five things that Allah ordered me with: Jama'ah sam' -listening- Ta'ah -obedience- Hijrah and Jihad Fisabillah for indeed, whoever leaves the jama'ah by a hand span has removed the noose of Islam from his neck unless he returns. And whoever calls to the call of jahiliyyah then he is from the gatherings of jahannam (hell)."" They said, ""O ALlah's Messenger, even if he fasts and prays?"" He said, ""Even if he fasts, prays, and claims to be a Muslim. So call the Muslims by their names, by what ALlah named them: Al-Muslimin, Al-Mu'minin, 'Ibad Allah (slaves of Allah).""",Support,The Concept of Imamah (Leadership) is From the Millah (Path) of Ibrahim
Dabiq,1,Jun-14,"Media, Politician, or Analyst","Douglas A. Ollivant, Brian Fishman","Out of the crucible of the Syrian civil war and the discontent in Iraq’s Sunni regions, something new is emerging. The Islamic State in Iraq and Syria (ISIS) is no longer a state in name only. It is a physical, if extralegal, reality on the ground. Unacknowledged by the world community, ISIS has carved a de facto state in the borderlands of Syria and Iraq. Stretching in a long ellipse roughly from al-Raqqah in Syria to Fallujah in Iraq (with many other noncontiguous islands of control in both Iraq and Syria), this former Al Qaeda affiliate holds territory, provides limited services, dispenses a form of justice (loosely defined), most definitely has an army, and flies its own flag. ... ISIS has created a multi-ethnic army; almost a foreign legion, to secure its territory."" ... ""Finally, this new reality presents a challenge that rises above a mere counter-terrorism problem. ISIS no longer exists in small cells that can be neutralized by missiles or small groups of commandos. It is now a real, if nascent and unrecognized, state actor—more akin in organization and power to the Taliban of the late 1990s than Al Qaeda.""... ""The group does not have safe haven within a state. It is a de facto state that is a safe haven.",Refute,The Islamic State in the Words of the Enemy
Dabiq,1,Jun-14,Hadith,Ahmad,"It was always a hope the mujahidin were certain of attaining, for Allah’s Messenger (sallallahu alayhi wa sallam) had promised them with it. He said, There will be prophethood for as long as Allah wills it to be, then He will remove it when He wills. Then there will be Khilafah on the prophetic methodology and it will be for as long as Allah wills, then He will remove it when He wills. Then there will be harsh kingship for as long as Allah wills, then He will remove it when He wills. Then there will be tyrannical kingship for as long as Allah wills, then He will remove it when He wills. Then there will be Khilafah on the prophetic methodology",Support,From Hijrah to Khilafah
Dabiq,1,Jun-14,Classical Scholar,"Abu Amr ad-Dani, ""As-Sunan ul Waridatu fil-Fitan""","It was also reported that Anas Ibn Malik (radiyallahu anh) said, There will be prophethood and mercy, then Khilafah and mercy, then harsh kingship, then tyrannical kingship, then tawaghit",Support,From Hijrah to Khilafah
Dabiq,1,Jun-14,Hadith,"Ahmad, An-Nasa'i","Allah’s Messenger (sallallahu alayhi wa sallam) said, Hijrah will not cease as long as there is jihad [Ahmad]. In another narration, he said, Hijrah will not cease as long as the kuffar are fought",Support,From Hijrah to Khilafah
Dabiq,1,Jun-14,Classical Scholar,Imam Shafi,"As ash-Shafi’i (rahimahullah) once said, One’s authority will not be consolidated except after overcoming tribulation.",Support,From Hijrah to Khilafah
Dabiq,1,Jun-14,Hadith,Sahih Muslim,"It also emphasizes the necessity for obeying the Messenger (sallallahu alayhi wa sallam) in his order, Whoever comes to you while your condition is united behind a single man, and intends to break your solidarity or disrupt your unity, then kill him",Support,From Hijrah to Khilafah
Dabiq,1,Jun-14,Qur'an,at-Taqbah 15,"(At-Taqbah: 15) ""And Allah turns in forgiveness to whome he will; and Allah is knowing and wise""",Support,Murtaddin Repent in the Thousands
Dabiq,1,Jun-14,Hadith,Sahih Muslim,"Abu Hurayrah reported that Allah’s Messenger (sallallahu alayhi wa sallam) said, The Hour will not be established until the Romans land at al-A’maq or Dabiq (two places near each other in the northern countryside of Halab). Then an army from al-Madinah of the best people on the earth at that time will leave for them. When they line up in ranks, the Romans will say, Leave us and those who were taken as prisoners from amongst us so we can fight them.’ The Muslims will say, Nay, by Allah, we will not abandon our brothers to you.’ So they will fight them. Then one third of them will flee; Allah will never forgive them. One third will be killed; they will be the best martyrs with Allah. And one third will conquer them; they will never be afflicted with fitnah. Then they will conquer Constantinople. While they are dividing the war booty, having hung their swords on olive trees, Shayt?n will shout, The [false] Messiah has followed after your families [who were left behind.]’ So they will leave [for their families], but Shaytan’s claim is false. When they arrive to Sham he comes out. Then while they are preparing for battle and filing their ranks, the prayer is called. So Isa Ibn Maryam (alayhis-Salam) will descend and lead them. When the enemy of Allah sees him, he will melt as salt melts in water. If he were to leave him, he would melt until he perished, but he kills him with his own hand, and then shows them his blood upon his spear.",Support,
Dabiq,2,Jul-14,Jihadist,Abu Mus'ab az-Zarqawi,"""The spark has been lit here in Iraq, and its heat will continue to intensify - by Allah's permission - until in burns",Support,
Dabiq,2,Jul-14,Qur'an,Taha 84,"(Taha: 84) ""He said: I hastened to You, my Lord, that you be pleased""",Support,
Dabiq,2,Jul-14,Hadith,Sahih Muslim,"Whoever dies without having bound himself by a bay’ah, dies a death of j?hiliyyah",Support,Foreword
Dabiq,2,Jul-14,Qur'an,Hud 25-26,"(Hud: 25-26) ""And We had certainly sent N?h to his people, [saying], Indeed, I am to you a clear warner. That you not worship except Allah. Indeed, I fear for you the punishment of a painful day.",Support,It's Either the Islamic State or the Flood
Dabiq,2,Jul-14,Qur'an,Nuh 25,"(Nuh: 25) ""Because of their sins they were drowned and put into the Fire, and they found not for themselves besides Allah [any] helpers""",Support,It's Either the Islamic State or the Flood
Dabiq,2,Jul-14,Qur'an,Hud 38-39,"(Hud: 38-39) ""And he constructed the ship, and whenever an assembly of the eminent of his people passed by him, they ridiculed him. He said, If you ridicule us, then we will ridicule you just as you ridicule. And you are going to know who will get a punishment that will disgrace him [on earth] and upon whom will descend an enduring punishment [in the Hereafter]",Support,It's Either the Islamic State or the Flood
Dabiq,2,Jul-14,Qur'an,al-Ankabut 15,"(Al-Ankabut: 15) ""But We saved him and the companions of the ship, and We made it a sign for the worlds""",Support,It's Either the Islamic State or the Flood
Dabiq,2,Jul-14,Hadith,Sahih Bukhari,"""The remains of the ark were on Al-Judi and were seen by the first genertions of this Ummah""",Support,It's Either the Islamic State or the Flood
Dabiq,2,Jul-14,Qur'an,al-Qamar 15,"(Al-Qamar: 15) ""And we left it as a sign, so is there any who will remeber?""",Support,It's Either the Islamic State or the Flood
Dabiq,2,Jul-14,Tafsir,al-Ashur,"""The reason Allah said {a sign for the creation} which includes all inhabitants of the earth, is firstly, that anyone who doesn’t see the remains of N?h’s ark still sees other ships and thus remembers the ark of N?h, and the fact that it was constructed due to revelation from Allah in order to save N?h and anyone else whom Allah wished to save. Secondly, it’s because the people residing in the town of the ark keep narrating its story and it keeps being passed on, such that it reaches the level of mutaw?tir (conveyed by such a large number of narrators that it’s inconceivable that they agreed upon a lie) [At-Tahr?r Wat-Tanw?r, 20:223].",Support,It's Either the Islamic State or the Flood
Dabiq,2,Jul-14,Qur'an,Hud 37,"(Hud: 37) ""And construct the ship under Our observation and Our inspiration and do not address Me concerning those who have wronged; indeed, they are [to be] drowned""",Support,It's Either the Islamic State or the Flood
Dabiq,2,Jul-14,Hadith,Bukhari & Muslim,"The Prophet (sallall?hu alayhi wa sallam) said: On the authority of Imr?n Ibn Husayn (radiyall?hu anhum?) who stated that Allah’s Messenger (sallall?hu alayhi wa sallam) said: The best of my Ummah are those of my generation, and then those who follow after them, and then those who follow after them. Imr?n said: I do not remember whether he mentioned two or three generations after his generation. Then the Prophet added, There will come after you, people who will bear witness without being asked to do so, and will be treacherous and untrustworthy, and they will vow and never fulfill their vows, and obesity will appear among them. [Al-Bukh?r? #3693 and Muslim #6638]",Support,It's Either the Islamic State or the Flood
Dabiq,2,Jul-14,Hadith Commentary,"Ibn Hajar al-Asqalani, ""Fath ul-Bari""","Ibn Hajar says: They agreed that the last of the atb?’ut-t?bi’?n (the second generation following the Prophet’s generation) whose words were held in regard, were those who lived up to approximately 220 Hijr?. It was at this time that many innovations began to appear, the Mu’tazilah began to speak openly, the philosophers began to rear their heads, and the people of knowledge were tried with the issue of the creation of the Qur’?n. The situation changed drastically and has continued to degenerate even until now, and the statement of the Prophet, Then lies will spread,’ became very apparent, to the extent that these lies encompassed statements, actions and beliefs. And we seek Allah’s help [Fathul-B?r?, 6:7].",Support,It's Either the Islamic State or the Flood
Dabiq,2,Jul-14,Hadith,Musnad Ahmad,"""Allah's Messenger (SAW) said, 'hijrah will not ease as long as there is Jihad.""",Support,Hijrah and Jihad
Dabiq,2,Jul-14,Hadith,Musnad Ahmad,"Allah’s Messenger(SAW) said, Shayt?n sat in wait for the son of ?dam upon the roads. He sat in wait for him on the path of Islam and said, Will you accept Islam, and leave your religion and the religion of your forefathers and their forefathers!’ So he disobeyed him and accepted Islam. Then he sat in wait for him upon the path of hijrah and said, Will you emi - grate and abandon your land and your sky? The muh?jir is like a horse fastened by a rope to a peg!’ So he disobeyed him and emigrated. Then he sat in wait for him upon the path of jih?d and said, It’s exhaustion of oneself and one’s wealth; you’ll fight and be killed. Your wife will be married [after you],and your wealth will be di - vided.’ So he disobeyed him and performed jih?d. Whoever does this of them and then dies or is killed or drowns or is stomped upon to death by his riding animal, it is then incumbent upon Allah to enter him into Jannah.",Support,No article
Dabiq,2,Jul-14,Jihadist,Abu Muhammad al-Adnani,"O Allah, whoever is the liar, then make Your curse come upon him, show us a sign regarding him, and make an example out of him. He then said, O Allah, whoever conspires against jih?d and the muj?hid?n, then make his plot backfire, reveal his secrets, expose his intentions, and make an example out of him for those who heed. O Allah, subject them to the authority of diseases and disasters....O Allah, if this is a state of khaw?rij, then break its back, kills its leaders, make its flag fall, and guide its soldiers to the truth. O Allah, and if it is a state of Islam that rules by Your book and the tradition of Your prophet, and performs jih?d against your enemies, then keep it firm, strengthen it, support it, grant it authority in the land, and make it a khil?fah upon the prophetic methodology. He then said, O Allah, deal with everyone who has split the rank of the muj?hid?n, divided their word, delighted the kuff?r, angered the believers, and set the jih?d back many years.",Support,The Flood of the Mubahlah
Dabiq,2,Jul-14,Qur'an,al-Imran 59-61,"(Al-Imran: 59-61) ""Indeed, the example of Jesus to Allah is like that of Adam. He created Him from dust; then He said to him, Be, and he was. The truth is from your Lord, so do not be among the doubters. Then whoever argues with you about it after knowledge has come to you – say, Come, let us call our sons and your sons, our women and your women, ourselves and yourselves, then supplicate earnestly and invoke the curse of Allah upon the liars",Support,A Discussion on Mubahalah
Dabiq,2,Jul-14,Qur'an,Maryam 75,"(Maryam: 75) ""Say, Whoever is in error – let ar-Rahm?n lengthen for him an extension [in time] until, when they see that which they were promised – either punishment or the Hour. They will come to know who is worst in position and weaker in soldiers""",Support,A Discussion on Mubahalah
Dabiq,2,Jul-14,Tafsir,Tafsir Ibn Kathir/Quran,"Ibn Kathir said: Allah ta’?l? says, {Say}, O Muhammad to these mushrik?n who associate others with their Lord, who claim that they are upon the truth and that you are upon falsehood. {Whoever is in error}, meaning from amongst us and amongst you. {Let ar-Rahm?n lengthen for him an extension} meaning, that Allah leaves him in his condition, until he meets his Lord and his term elapses. {Either punishment} afflicts him, {or the Hour} comes to him suddenly. {They will come to know} then, {who is worst in position and weaker in soldiers}, meaning in contrast to their claim of good position and assembly. Muj?hid said regarding His words: {Let ar-Rahm?n lengthen for him an extension}, Let Allah leave him in his tyranny.’ This is what Abu Ja’far Ibn Jar?r at-Tabar? (rahimahull?h) ascertained. This is the mub?halah for the mushrik?n who claim that they are upon guidance with regards to their religion, as Allah ta’?l? also mentioned the mub?halah for the jews in His words, {Say, O you who are jews, if you claim that you are allies of Allah, excluding the [other] people, then wish for death, if you should be truthful} [Al-Jumu’ah: 6], meaning supplicate for death to befall the one upon falsehood amongst us or amongst you; if you claim that you are upon truth, then du’?’ cannot harm you. But they retreated from this invitation",Support,A Discussion on Mubahalah
Dabiq,2,Jul-14,Hadith ,Mukhtasar as-Sawa'iq al- Mursalah,"Ibnul-Qayyim said, If a debate reaches this point and there is no longer any benefit in continuing, it becomes incumbent to turn towards what Allah and His Messenger ordered with – mub?halah [Mukhtasar as-Saw?’iq al-Mursalah].",Support,A Discussion on Mubahalah
Dabiq,2,Jul-14,Sira,"Ibn al-Qayyim, ""Zad al-Ma'ad""","Ibnul-Qayyim also said – commenting on the story of the christian delegation from Najr?n, [You also learn from this story] that when debating the people of falsehood and Allah’s proof is established against them, yet they do not turn back, rather they insist upon stubborn opposition, it is then the Sunnah to call them to mub?halah. Allah (subh?nah) ordered His messenger with such, and He did not say, This does not apply to your Ummah after you.’ His cousin Abdull?h Ibn Abb?s (radiyall?hu anhum?) also called to mub?halah when some censured him regarding some matters of fur?’, and none of the Sah?bah criticized him for mub?halah. Al-Awz?’? called Sufy?n ath-Thawr? to it over the matter of raising hands, and no one criticized him for such. Thus the mub?halah entails fully establishing the proof [Z?d al-Ma’?d].",Support,A Discussion on Mubahalah
Dabiq,2,Jul-14,Hadith Commentary,"Mashhur al-Salman, ""Al-Qawl al-Mubni""","For example, Ibn Hajar called a proponent of the heretic Ibn Arab? to mub?halah. He told him to say, O Allah, if Ibn Arab? is upon deviance, then curse me with Your curse. Ibn Hajar in turn said, O Allah, if Ibn Arab? is upon guidance, then curse me with Your curse. After two months, the heretic was afflicted with blindness and then died. AsSakh?w? – Ibn Hajar’s student – reported this in his book Al-Qawl al-Mubn?.",Support,A Discussion on Mubahalah
Dabiq,2,Jul-14,Hadith,Sahih Bukhari,"Hudhayfah (radiyall?hu anh) said that when the heads of Najr?n – as-Sayyid and al-?qib – came to Allah’s Messenger (sallall?hu alayhi wa sallam) for mub?halah, one said to the other, Do not perform it, for by Allah, if he is a prophet and curses us, we will never prosper, not us nor our descendants after us",Support,A Discussion on Mubahalah
Dabiq,2,Jul-14,Hadith,Musnad Ahmad,"Ibn Abb?s (radiyall?hu anhum?) said, If the jews had wished for death, they would have died and seen their places in Hellfire. And if those who called Allah’s Messenger to mub?halah had performed it, they would have returned home not finding any wealth nor family",Support,A Discussion on Mubahalah
Dabiq,2,Jul-14,Tafsir,Tafsir at-Tabari,"Ilb?’ al-Yashkur? – a student of the t?bi’? and mufassir Ikrimah – reported that when Allah’s Messenger called the jews to mub?halah, one of the youth of the jews said, Be wary. Do you not remember your brothers in the past who were transformed into apes and swine? Do not supplicate for curses upon each other. So they ceased to perform the mub?halah",Support,A Discussion on Mubahalah
Dabiq,2,Jul-14,Hadith Commentary,Ibn Qasim an-Najdi,"Mub?halah was also part of the da’wah of Im?m Muhammad Ibn Abdil-Wahh?b (rahimahull?h), who said, I call those who oppose me to one of four matters: either the Book of Allah, or the Sunnah of Allah’s Messenger, or the Ijm?’ (consensus) of the scholars. If he is stubborn and insists on opposing our da’wah, I call him to a mub?halah",Support,A Discussion on Mubahalah
Dabiq,2,Jul-14,Hadith,"Ahmad, Ibn Hibban","Allah said, ""I am according to my slave's expectations of Me. If he expects good of Me, then it is for him; and if he expects bad, then it is for him""",Support,A Discussion on Mubahalah
